#TYPE Selected.System.ServiceProcess.ServiceController
"Name","DisplayName","Status","StartType"
"StorSvc","Storage Service","Running","Manual"
"SUService","System Update","Running","Manual"
"svsvc","Spot Verifier","Stopped","Manual"
"SwiService","Sierra Wireless Service","Running","Automatic"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"SynTPEnhService","SynTPEnh Caller Service","Running","Automatic"
"SysMain","Superfetch","Running","Automatic"
"SystemEventsBroker","System Events Broker","Running","Automatic"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Stopped","Manual"
"TapiSrv","Telephony","Stopped","Manual"
"TechSmith Uploader Service","TechSmith Uploader Service","Running","Automatic"
"TermService","Remote Desktop Services","Running","Manual"
"Themes","Themes","Running","Automatic"
"TieringEngineService","Storage Tiers Management","Stopped","Manual"
"tiledatamodelsvc","Tile Data model server","Running","Automatic"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","TokenBroker","Running","Manual"
"TPHDEXLGSVC","ThinkPad HDD APS Logging Service","Stopped","Manual"
"TPHKLOAD","Lenovo Hotkey Client Loader","Running","Automatic"
"TrkWks","Distributed Link Tracking Client","Running","Automatic"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual"
"tzautoupdate","Auto Time Zone Updater","Stopped","Manual"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled"
"UI0Detect","Interactive Services Detection","Stopped","Manual"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Running","Manual"
"UnistoreSvc_87a52","User Data Storage_87a52","Running","Manual"
"upnphost","UPnP Device Host","Running","Manual"
"UserDataSvc_87a52","User Data Access_87a52","Running","Manual"
"UserManager","User Manager","Running","Automatic"
"UsoSvc","Update Orchestrator Service","Stopped","Manual"
"valWBFPolicyService","Synaptics FP WBF Policy Service","Running","Automatic"
"valWbioSyncSvc","BiometricSensorDataSynchronization","Running","Automatic"
"VaultSvc","Credential Manager","Running","Manual"
"vds","Virtual Disk","Stopped","Manual"
"vmcompute","Hyper-V Host Compute Service","Running","Manual"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"vmms","Hyper-V Virtual Machine Management","Running","Automatic"
"VMUSBArbService","VMware USB Arbitration Service","Running","Automatic"
"VSS","Volume Shadow Copy","Stopped","Manual"
"VSStandardCollectorService140","Visual Studio Standard Collector Service","Stopped","Manual"
"W32Time","Windows Time","Running","Manual"
"w3logsvc","W3C Logging Service","Stopped","Manual"
"W3SVC","World Wide Web Publishing Service","Running","Automatic"
"WalletService","WalletService","Stopped","Manual"
"WAS","Windows Process Activation Service","Running","Manual"
"wbengine","Block Level Backup Engine Service","Stopped","Manual"
"WbioSrvc","Windows Biometric Service","Stopped","Automatic"
"Wcmsvc","Windows Connection Manager","Running","Automatic"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual"
"WdiServiceHost","Diagnostic Service Host","Running","Manual"
"WdiSystemHost","Diagnostic System Host","Running","Manual"
"WdNisSvc","Windows Defender Antivirus Network Inspection Service","Running","Manual"
"WebClient","WebClient","Stopped","Manual"
"Wecsvc","Windows Event Collector","Stopped","Manual"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual"
"wercplsupport","Problem Reports and Solutions Control Panel Support","Stopped","Manual"
"WerSvc","Windows Error Reporting Service","Stopped","Manual"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual"
"WinDefend","Windows Defender Antivirus Service","Running","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"Winmgmt","Windows Management Instrumentation","Running","Automatic"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual"
"wisvc","Windows Insider Service","Stopped","Manual"
"WlanSvc","WLAN AutoConfig","Running","Automatic"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual"
"wlpasvc","LPA Service","Stopped","Manual"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual"
"workfolderssvc","Work Folders","Stopped","Manual"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual"
"WpnService","Windows Push Notifications System Service","Running","Automatic"
"WpnUserService_87a52","Windows Push Notifications User Service_87a52","Running","Automatic"
"wscsvc","Security Center","Running","Automatic"
"WSearch","Windows Search","Running","Automatic"
"wuauserv","Windows Update","Running","Manual"
"wudfsvc","Windows Driver Foundation - User-mode Driver Framework","Running","Manual"
"WwanSvc","WWAN AutoConfig","Running","Automatic"
"xbgm","Xbox Game Monitoring","Stopped","Manual"
"XblAuthManager","Xbox Live Auth Manager","Stopped","Manual"
"XblGameSave","Xbox Live Game Save","Stopped","Manual"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual"
"ZeroConfigService","Intel(R) PROSet/Wireless Zero Configuration Service","Running","Automatic"
